Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
02 Albacete	Número de plazas estimadas	2005M09	""
02 Albacete	Número de plazas estimadas	2005M08	""
02 Albacete	Número de plazas estimadas	2005M07	""
02 Albacete	Número de plazas estimadas	2005M06	""
02 Albacete	Número de plazas estimadas	2005M05	""
02 Albacete	Número de plazas estimadas	2005M04	""
02 Albacete	Número de plazas estimadas	2005M03	""
02 Albacete	Número de plazas estimadas	2005M02	""
02 Albacete	Número de plazas estimadas	2005M01	""
03 Alicante/Alacant	Número de plazas estimadas	2024M09	99.863
03 Alicante/Alacant	Número de plazas estimadas	2024M08	101.175
03 Alicante/Alacant	Número de plazas estimadas	2024M07	97.200
03 Alicante/Alacant	Número de plazas estimadas	2024M06	95.139
03 Alicante/Alacant	Número de plazas estimadas	2024M05	86.387
03 Alicante/Alacant	Número de plazas estimadas	2024M04	80.700
03 Alicante/Alacant	Número de plazas estimadas	2024M03	92.669
03 Alicante/Alacant	Número de plazas estimadas	2024M02	77.691
03 Alicante/Alacant	Número de plazas estimadas	2024M01	79.510
03 Alicante/Alacant	Número de plazas estimadas	2023M12	78.458
03 Alicante/Alacant	Número de plazas estimadas	2023M11	84.694
03 Alicante/Alacant	Número de plazas estimadas	2023M10	93.965
03 Alicante/Alacant	Número de plazas estimadas	2023M09	101.475
03 Alicante/Alacant	Número de plazas estimadas	2023M08	110.323
03 Alicante/Alacant	Número de plazas estimadas	2023M07	114.772
03 Alicante/Alacant	Número de plazas estimadas	2023M06	113.374
03 Alicante/Alacant	Número de plazas estimadas	2023M05	114.038
03 Alicante/Alacant	Número de plazas estimadas	2023M04	111.193
03 Alicante/Alacant	Número de plazas estimadas	2023M03	71.211
03 Alicante/Alacant	Número de plazas estimadas	2023M02	68.433
03 Alicante/Alacant	Número de plazas estimadas	2023M01	67.304
03 Alicante/Alacant	Número de plazas estimadas	2022M12	68.040
03 Alicante/Alacant	Número de plazas estimadas	2022M11	68.750
03 Alicante/Alacant	Número de plazas estimadas	2022M10	81.918
03 Alicante/Alacant	Número de plazas estimadas	2022M09	87.352
03 Alicante/Alacant	Número de plazas estimadas	2022M08	91.980
03 Alicante/Alacant	Número de plazas estimadas	2022M07	84.126
03 Alicante/Alacant	Número de plazas estimadas	2022M06	90.237
