Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;05 Canarias;;2023M08;4,08
Total Nacional;05 Canarias;;2023M02;4,1
Total Nacional;05 Canarias;;2022M08;3,93
Total Nacional;05 Canarias;;2022M02;3,72
Total Nacional;05 Canarias;;2021M08;3,78
Total Nacional;05 Canarias;;2021M02;3,64
Total Nacional;05 Canarias;;2020M08;3,63
Total Nacional;05 Canarias;35 Palmas, Las;2024M08;4,92
Total Nacional;05 Canarias;35 Palmas, Las;2024M02;4,55
Total Nacional;05 Canarias;35 Palmas, Las;2023M08;4,37
Total Nacional;05 Canarias;35 Palmas, Las;2023M02;4,35
Total Nacional;05 Canarias;35 Palmas, Las;2022M08;4,17
Total Nacional;05 Canarias;35 Palmas, Las;2022M02;3,96
Total Nacional;05 Canarias;35 Palmas, Las;2021M08;3,97
Total Nacional;05 Canarias;35 Palmas, Las;2021M02;3,85
Total Nacional;05 Canarias;35 Palmas, Las;2020M08;3,81
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M08;4,48
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M02;4,04
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M08;3,78
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M02;3,83
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M08;3,68
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M02;3,47
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2021M08;3,58
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2021M02;3,42
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2020M08;3,44
Total Nacional;06 Cantabria;;2024M08;2,26
Total Nacional;06 Cantabria;;2024M02;1,81
Total Nacional;06 Cantabria;;2023M08;1,8
Total Nacional;06 Cantabria;;2023M02;1,59
Total Nacional;06 Cantabria;;2022M08;1,75
Total Nacional;06 Cantabria;;2022M02;1,35
Total Nacional;06 Cantabria;;2021M08;1,5
Total Nacional;06 Cantabria;;2021M02;1,21
Total Nacional;06 Cantabria;;2020M08;1,36
Total Nacional;06 Cantabria;39 Cantabria;2024M08;2,26
Total Nacional;06 Cantabria;39 Cantabria;2024M02;1,81
Total Nacional;06 Cantabria;39 Cantabria;2023M08;1,8
Total Nacional;06 Cantabria;39 Cantabria;2023M02;1,59
Total Nacional;06 Cantabria;39 Cantabria;2022M08;1,75
Total Nacional;06 Cantabria;39 Cantabria;2022M02;1,35
Total Nacional;06 Cantabria;39 Cantabria;2021M08;1,5
Total Nacional;06 Cantabria;39 Cantabria;2021M02;1,21
Total Nacional;06 Cantabria;39 Cantabria;2020M08;1,36
Total Nacional;07 Castilla y León;;2024M08;0,48
Total Nacional;07 Castilla y León;;2024M02;0,41
Total Nacional;07 Castilla y León;;2023M08;0,38
Total Nacional;07 Castilla y León;;2023M02;0,36
Total Nacional;07 Castilla y León;;2022M08;0,36
Total Nacional;07 Castilla y León;;2022M02;0,33
Total Nacional;07 Castilla y León;;2021M08;0,33
Total Nacional;07 Castilla y León;;2021M02;0,31
Total Nacional;07 Castilla y León;;2020M08;0,34
Total Nacional;07 Castilla y León;05 Ávila;2024M08;0,86
Total Nacional;07 Castilla y León;05 Ávila;2024M02;0,71
Total Nacional;07 Castilla y León;05 Ávila;2023M08;0,71
Total Nacional;07 Castilla y León;05 Ávila;2023M02;0,62
Total Nacional;07 Castilla y León;05 Ávila;2022M08;0,61
Total Nacional;07 Castilla y León;05 Ávila;2022M02;0,52
Total Nacional;07 Castilla y León;05 Ávila;2021M08;0,52
Total Nacional;07 Castilla y León;05 Ávila;2021M02;0,48
Total Nacional;07 Castilla y León;05 Ávila;2020M08;0,49
Total Nacional;07 Castilla y León;09 Burgos;2024M08;0,4
Total Nacional;07 Castilla y León;09 Burgos;2024M02;0,33
Total Nacional;07 Castilla y León;09 Burgos;2023M08;0,3
Total Nacional;07 Castilla y León;09 Burgos;2023M02;0,28
Total Nacional;07 Castilla y León;09 Burgos;2022M08;0,28
Total Nacional;07 Castilla y León;09 Burgos;2022M02;0,25
Total Nacional;07 Castilla y León;09 Burgos;2021M08;0,24
Total Nacional;07 Castilla y León;09 Burgos;2021M02;0,23
Total Nacional;07 Castilla y León;09 Burgos;2020M08;0,25
Total Nacional;07 Castilla y León;24 León;2024M08;0,45
Total Nacional;07 Castilla y León;24 León;2024M02;0,38
Total Nacional;07 Castilla y León;24 León;2023M08;0,35
Total Nacional;07 Castilla y León;24 León;2023M02;0,35
