Total Nacional;Distritos;Tipo de dato;Periodo;Total
Total Nacional;0200307 Albacete distrito 07;Índice;2018;104,229
Total Nacional;0200307 Albacete distrito 07;Índice;2017;102,337
Total Nacional;0200307 Albacete distrito 07;Índice;2016;101,479
Total Nacional;0200307 Albacete distrito 07;Índice;2015;100
Total Nacional;0200307 Albacete distrito 07;Índice;2014;101,39
Total Nacional;0200307 Albacete distrito 07;Índice;2013;103,067
Total Nacional;0200307 Albacete distrito 07;Índice;2012;106,394
Total Nacional;0200307 Albacete distrito 07;Índice;2011;108,79
Total Nacional;0200307 Albacete distrito 07;Variación anual;2022;2,6
Total Nacional;0200307 Albacete distrito 07;Variación anual;2021;2,3
Total Nacional;0200307 Albacete distrito 07;Variación anual;2020;1,3
Total Nacional;0200307 Albacete distrito 07;Variación anual;2019;4,2
Total Nacional;0200307 Albacete distrito 07;Variación anual;2018;1,8
Total Nacional;0200307 Albacete distrito 07;Variación anual;2017;0,8
Total Nacional;0200307 Albacete distrito 07;Variación anual;2016;1,5
Total Nacional;0200307 Albacete distrito 07;Variación anual;2015;-1,4
Total Nacional;0200307 Albacete distrito 07;Variación anual;2014;-1,6
Total Nacional;0200307 Albacete distrito 07;Variación anual;2013;-3,1
Total Nacional;0200307 Albacete distrito 07;Variación anual;2012;-2,2
Total Nacional;0200307 Albacete distrito 07;Variación anual;2011;..
Total Nacional;0200308 Albacete distrito 08;Índice;2022;106,037
Total Nacional;0200308 Albacete distrito 08;Índice;2021;104,383
Total Nacional;0200308 Albacete distrito 08;Índice;2020;..
Total Nacional;0200308 Albacete distrito 08;Índice;2019;..
Total Nacional;0200308 Albacete distrito 08;Índice;2018;..
Total Nacional;0200308 Albacete distrito 08;Índice;2017;..
Total Nacional;0200308 Albacete distrito 08;Índice;2016;..
Total Nacional;0200308 Albacete distrito 08;Índice;2015;..
Total Nacional;0200308 Albacete distrito 08;Índice;2014;..
Total Nacional;0200308 Albacete distrito 08;Índice;2013;..
Total Nacional;0200308 Albacete distrito 08;Índice;2012;..
Total Nacional;0200308 Albacete distrito 08;Índice;2011;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2022;1,6
Total Nacional;0200308 Albacete distrito 08;Variación anual;2021;2,9
Total Nacional;0200308 Albacete distrito 08;Variación anual;2020;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2019;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2018;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2017;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2016;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2015;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2014;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2013;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2012;..
Total Nacional;0200308 Albacete distrito 08;Variación anual;2011;..
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2022;116,09
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2021;111,915
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2020;110,045
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2019;109,476
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2018;105,513
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2017;102,914
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2016;101,194
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2015;100
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2014;100,037
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2013;99,666
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2012;101,696
Total Nacional;0301401 Alacant/Alicante distrito 01;Índice;2011;103,505
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2022;3,7
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2021;1,7
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2020;0,5
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2019;3,8
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2018;2,5
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2017;1,7
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2016;1,2
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2015;0
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2014;0,4
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2013;-2
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2012;-1,7
Total Nacional;0301401 Alacant/Alicante distrito 01;Variación anual;2011;..
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2022;118,275
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2021;113,885
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2020;111,425
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2019;109,704
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2018;105,556
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2017;102,954
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2016;101,489
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2015;100
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2014;99,285
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2013;99,434
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2012;102,175
Total Nacional;0301402 Alacant/Alicante distrito 02;Índice;2011;103,707
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2022;3,9
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2021;2,2
