Total Nacional;Distritos;Tipo de dato;Periodo;Total
Total Nacional;2702807 Lugo distrito 07;Variación anual;2018;..
Total Nacional;2702807 Lugo distrito 07;Variación anual;2017;..
Total Nacional;2702807 Lugo distrito 07;Variación anual;2016;..
Total Nacional;2702807 Lugo distrito 07;Variación anual;2015;..
Total Nacional;2702807 Lugo distrito 07;Variación anual;2014;..
Total Nacional;2702807 Lugo distrito 07;Variación anual;2013;..
Total Nacional;2702807 Lugo distrito 07;Variación anual;2012;..
Total Nacional;2702807 Lugo distrito 07;Variación anual;2011;..
Total Nacional;2702808 Lugo distrito 08;Índice;2022;..
Total Nacional;2702808 Lugo distrito 08;Índice;2021;..
Total Nacional;2702808 Lugo distrito 08;Índice;2020;..
Total Nacional;2702808 Lugo distrito 08;Índice;2019;..
Total Nacional;2702808 Lugo distrito 08;Índice;2018;..
Total Nacional;2702808 Lugo distrito 08;Índice;2017;..
Total Nacional;2702808 Lugo distrito 08;Índice;2016;..
Total Nacional;2702808 Lugo distrito 08;Índice;2015;..
Total Nacional;2702808 Lugo distrito 08;Índice;2014;..
Total Nacional;2702808 Lugo distrito 08;Índice;2013;..
Total Nacional;2702808 Lugo distrito 08;Índice;2012;..
Total Nacional;2702808 Lugo distrito 08;Índice;2011;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2022;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2021;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2020;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2019;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2018;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2017;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2016;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2015;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2014;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2013;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2012;..
Total Nacional;2702808 Lugo distrito 08;Variación anual;2011;..
Total Nacional;2702809 Lugo distrito 09;Índice;2022;..
Total Nacional;2702809 Lugo distrito 09;Índice;2021;..
Total Nacional;2702809 Lugo distrito 09;Índice;2020;..
Total Nacional;2702809 Lugo distrito 09;Índice;2019;..
Total Nacional;2702809 Lugo distrito 09;Índice;2018;..
Total Nacional;2702809 Lugo distrito 09;Índice;2017;..
Total Nacional;2702809 Lugo distrito 09;Índice;2016;..
Total Nacional;2702809 Lugo distrito 09;Índice;2015;..
Total Nacional;2702809 Lugo distrito 09;Índice;2014;..
Total Nacional;2702809 Lugo distrito 09;Índice;2013;..
Total Nacional;2702809 Lugo distrito 09;Índice;2012;..
Total Nacional;2702809 Lugo distrito 09;Índice;2011;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2022;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2021;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2020;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2019;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2018;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2017;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2016;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2015;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2014;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2013;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2012;..
Total Nacional;2702809 Lugo distrito 09;Variación anual;2011;..
Total Nacional;2807901 Madrid distrito 01;Índice;2022;113,887
Total Nacional;2807901 Madrid distrito 01;Índice;2021;110,204
Total Nacional;2807901 Madrid distrito 01;Índice;2020;110,926
Total Nacional;2807901 Madrid distrito 01;Índice;2019;112,331
Total Nacional;2807901 Madrid distrito 01;Índice;2018;107,795
Total Nacional;2807901 Madrid distrito 01;Índice;2017;104,189
Total Nacional;2807901 Madrid distrito 01;Índice;2016;101,984
Total Nacional;2807901 Madrid distrito 01;Índice;2015;100
Total Nacional;2807901 Madrid distrito 01;Índice;2014;98,622
Total Nacional;2807901 Madrid distrito 01;Índice;2013;99,055
Total Nacional;2807901 Madrid distrito 01;Índice;2012;101,79
Total Nacional;2807901 Madrid distrito 01;Índice;2011;102,982
Total Nacional;2807901 Madrid distrito 01;Variación anual;2022;3,3
Total Nacional;2807901 Madrid distrito 01;Variación anual;2021;-0,7
Total Nacional;2807901 Madrid distrito 01;Variación anual;2020;-1,3
Total Nacional;2807901 Madrid distrito 01;Variación anual;2019;4,2
Total Nacional;2807901 Madrid distrito 01;Variación anual;2018;3,5
Total Nacional;2807901 Madrid distrito 01;Variación anual;2017;2,2
Total Nacional;2807901 Madrid distrito 01;Variación anual;2016;2
Total Nacional;2807901 Madrid distrito 01;Variación anual;2015;1,4
Total Nacional;2807901 Madrid distrito 01;Variación anual;2014;-0,4
Total Nacional;2807901 Madrid distrito 01;Variación anual;2013;-2,7
Total Nacional;2807901 Madrid distrito 01;Variación anual;2012;-1,2
Total Nacional;2807901 Madrid distrito 01;Variación anual;2011;..
Total Nacional;2807902 Madrid distrito 02;Índice;2022;115,744
Total Nacional;2807902 Madrid distrito 02;Índice;2021;113,043
Total Nacional;2807902 Madrid distrito 02;Índice;2020;112,426
Total Nacional;2807902 Madrid distrito 02;Índice;2019;111,884
Total Nacional;2807902 Madrid distrito 02;Índice;2018;107,417
Total Nacional;2807902 Madrid distrito 02;Índice;2017;104,068
Total Nacional;2807902 Madrid distrito 02;Índice;2016;102,019
Total Nacional;2807902 Madrid distrito 02;Índice;2015;100
Total Nacional;2807902 Madrid distrito 02;Índice;2014;99,189
Total Nacional;2807902 Madrid distrito 02;Índice;2013;99,251
Total Nacional;2807902 Madrid distrito 02;Índice;2012;101,927
Total Nacional;2807902 Madrid distrito 02;Índice;2011;104,068
Total Nacional;2807902 Madrid distrito 02;Variación anual;2022;2,4
Total Nacional;2807902 Madrid distrito 02;Variación anual;2021;0,5
Total Nacional;2807902 Madrid distrito 02;Variación anual;2020;0,5
Total Nacional;2807902 Madrid distrito 02;Variación anual;2019;4,2
Total Nacional;2807902 Madrid distrito 02;Variación anual;2018;3,2
Total Nacional;2807902 Madrid distrito 02;Variación anual;2017;2
Total Nacional;2807902 Madrid distrito 02;Variación anual;2016;2
Total Nacional;2807902 Madrid distrito 02;Variación anual;2015;0,8
Total Nacional;2807902 Madrid distrito 02;Variación anual;2014;-0,1
Total Nacional;2807902 Madrid distrito 02;Variación anual;2013;-2,6
Total Nacional;2807902 Madrid distrito 02;Variación anual;2012;-2,1
Total Nacional;2807902 Madrid distrito 02;Variación anual;2011;..
Total Nacional;2807903 Madrid distrito 03;Índice;2022;115,33
Total Nacional;2807903 Madrid distrito 03;Índice;2021;112,43
Total Nacional;2807903 Madrid distrito 03;Índice;2020;112,359
Total Nacional;2807903 Madrid distrito 03;Índice;2019;111,701
Total Nacional;2807903 Madrid distrito 03;Índice;2018;107,192
Total Nacional;2807903 Madrid distrito 03;Índice;2017;103,833
Total Nacional;2807903 Madrid distrito 03;Índice;2016;101,913
Total Nacional;2807903 Madrid distrito 03;Índice;2015;100
Total Nacional;2807903 Madrid distrito 03;Índice;2014;98,633
Total Nacional;2807903 Madrid distrito 03;Índice;2013;99,623
Total Nacional;2807903 Madrid distrito 03;Índice;2012;101,906
Total Nacional;2807903 Madrid distrito 03;Índice;2011;102,412
Total Nacional;2807903 Madrid distrito 03;Variación anual;2022;2,6
Total Nacional;2807903 Madrid distrito 03;Variación anual;2021;0,1
Total Nacional;2807903 Madrid distrito 03;Variación anual;2020;0,6
Total Nacional;2807903 Madrid distrito 03;Variación anual;2019;4,2
Total Nacional;2807903 Madrid distrito 03;Variación anual;2018;3,2
Total Nacional;2807903 Madrid distrito 03;Variación anual;2017;1,9
Total Nacional;2807903 Madrid distrito 03;Variación anual;2016;1,9
Total Nacional;2807903 Madrid distrito 03;Variación anual;2015;1,4
Total Nacional;2807903 Madrid distrito 03;Variación anual;2014;-1
Total Nacional;2807903 Madrid distrito 03;Variación anual;2013;-2,2
Total Nacional;2807903 Madrid distrito 03;Variación anual;2012;-0,5
Total Nacional;2807903 Madrid distrito 03;Variación anual;2011;..
Total Nacional;2807904 Madrid distrito 04;Índice;2022;114,803
Total Nacional;2807904 Madrid distrito 04;Índice;2021;111,375
Total Nacional;2807904 Madrid distrito 04;Índice;2020;111,616
Total Nacional;2807904 Madrid distrito 04;Índice;2019;111,635
Total Nacional;2807904 Madrid distrito 04;Índice;2018;107,199
Total Nacional;2807904 Madrid distrito 04;Índice;2017;104,066
Total Nacional;2807904 Madrid distrito 04;Índice;2016;101,765
Total Nacional;2807904 Madrid distrito 04;Índice;2015;100
Total Nacional;2807904 Madrid distrito 04;Índice;2014;98,793
Total Nacional;2807904 Madrid distrito 04;Índice;2013;99,191
Total Nacional;2807904 Madrid distrito 04;Índice;2012;101,183
Total Nacional;2807904 Madrid distrito 04;Índice;2011;101,836
Total Nacional;2807904 Madrid distrito 04;Variación anual;2022;3,1
Total Nacional;2807904 Madrid distrito 04;Variación anual;2021;-0,2
Total Nacional;2807904 Madrid distrito 04;Variación anual;2020;0
Total Nacional;2807904 Madrid distrito 04;Variación anual;2019;4,1
Total Nacional;2807904 Madrid distrito 04;Variación anual;2018;3
Total Nacional;2807904 Madrid distrito 04;Variación anual;2017;2,3
Total Nacional;2807904 Madrid distrito 04;Variación anual;2016;1,8
Total Nacional;2807904 Madrid distrito 04;Variación anual;2015;1,2
Total Nacional;2807904 Madrid distrito 04;Variación anual;2014;-0,4
Total Nacional;2807904 Madrid distrito 04;Variación anual;2013;-2
Total Nacional;2807904 Madrid distrito 04;Variación anual;2012;-0,6
Total Nacional;2807904 Madrid distrito 04;Variación anual;2011;..
Total Nacional;2807905 Madrid distrito 05;Índice;2022;115,042
Total Nacional;2807905 Madrid distrito 05;Índice;2021;111,963
Total Nacional;2807905 Madrid distrito 05;Índice;2020;111,829
Total Nacional;2807905 Madrid distrito 05;Índice;2019;111,131
Total Nacional;2807905 Madrid distrito 05;Índice;2018;106,734
Total Nacional;2807905 Madrid distrito 05;Índice;2017;103,665
Total Nacional;2807905 Madrid distrito 05;Índice;2016;101,583
Total Nacional;2807905 Madrid distrito 05;Índice;2015;100
Total Nacional;2807905 Madrid distrito 05;Índice;2014;99,048
Total Nacional;2807905 Madrid distrito 05;Índice;2013;99,39
Total Nacional;2807905 Madrid distrito 05;Índice;2012;101,534
Total Nacional;2807905 Madrid distrito 05;Índice;2011;102,379
Total Nacional;2807905 Madrid distrito 05;Variación anual;2022;2,8
Total Nacional;2807905 Madrid distrito 05;Variación anual;2021;0,1
Total Nacional;2807905 Madrid distrito 05;Variación anual;2020;0,6
Total Nacional;2807905 Madrid distrito 05;Variación anual;2019;4,1
Total Nacional;2807905 Madrid distrito 05;Variación anual;2018;3
Total Nacional;2807905 Madrid distrito 05;Variación anual;2017;2,1
Total Nacional;2807905 Madrid distrito 05;Variación anual;2016;1,6
Total Nacional;2807905 Madrid distrito 05;Variación anual;2015;1
Total Nacional;2807905 Madrid distrito 05;Variación anual;2014;-0,3
Total Nacional;2807905 Madrid distrito 05;Variación anual;2013;-2,1
Total Nacional;2807905 Madrid distrito 05;Variación anual;2012;-0,8
Total Nacional;2807905 Madrid distrito 05;Variación anual;2011;..
Total Nacional;2807906 Madrid distrito 06;Índice;2022;116,067
Total Nacional;2807906 Madrid distrito 06;Índice;2021;113,03
Total Nacional;2807906 Madrid distrito 06;Índice;2020;112,8
Total Nacional;2807906 Madrid distrito 06;Índice;2019;112,155
Total Nacional;2807906 Madrid distrito 06;Índice;2018;107,267
Total Nacional;2807906 Madrid distrito 06;Índice;2017;103,898
Total Nacional;2807906 Madrid distrito 06;Índice;2016;101,639
Total Nacional;2807906 Madrid distrito 06;Índice;2015;100
Total Nacional;2807906 Madrid distrito 06;Índice;2014;99,409
Total Nacional;2807906 Madrid distrito 06;Índice;2013;100,791
Total Nacional;2807906 Madrid distrito 06;Índice;2012;103,801
Total Nacional;2807906 Madrid distrito 06;Índice;2011;104,57
Total Nacional;2807906 Madrid distrito 06;Variación anual;2022;2,7
Total Nacional;2807906 Madrid distrito 06;Variación anual;2021;0,2
Total Nacional;2807906 Madrid distrito 06;Variación anual;2020;0,6
Total Nacional;2807906 Madrid distrito 06;Variación anual;2019;4,6
Total Nacional;2807906 Madrid distrito 06;Variación anual;2018;3,2
Total Nacional;2807906 Madrid distrito 06;Variación anual;2017;2,2
Total Nacional;2807906 Madrid distrito 06;Variación anual;2016;1,6
Total Nacional;2807906 Madrid distrito 06;Variación anual;2015;0,6
Total Nacional;2807906 Madrid distrito 06;Variación anual;2014;-1,4
Total Nacional;2807906 Madrid distrito 06;Variación anual;2013;-2,9
Total Nacional;2807906 Madrid distrito 06;Variación anual;2012;-0,7
Total Nacional;2807906 Madrid distrito 06;Variación anual;2011;..
Total Nacional;2807907 Madrid distrito 07;Índice;2022;115,501
Total Nacional;2807907 Madrid distrito 07;Índice;2021;112,122
Total Nacional;2807907 Madrid distrito 07;Índice;2020;112,129
Total Nacional;2807907 Madrid distrito 07;Índice;2019;112,422
Total Nacional;2807907 Madrid distrito 07;Índice;2018;107,834
Total Nacional;2807907 Madrid distrito 07;Índice;2017;104,452
Total Nacional;2807907 Madrid distrito 07;Índice;2016;102,037
Total Nacional;2807907 Madrid distrito 07;Índice;2015;100
Total Nacional;2807907 Madrid distrito 07;Índice;2014;98,763
Total Nacional;2807907 Madrid distrito 07;Índice;2013;98,718
Total Nacional;2807907 Madrid distrito 07;Índice;2012;100,988
Total Nacional;2807907 Madrid distrito 07;Índice;2011;101,822
Total Nacional;2807907 Madrid distrito 07;Variación anual;2022;3
Total Nacional;2807907 Madrid distrito 07;Variación anual;2021;0
Total Nacional;2807907 Madrid distrito 07;Variación anual;2020;-0,3
Total Nacional;2807907 Madrid distrito 07;Variación anual;2019;4,3
Total Nacional;2807907 Madrid distrito 07;Variación anual;2018;3,2
Total Nacional;2807907 Madrid distrito 07;Variación anual;2017;2,4
Total Nacional;2807907 Madrid distrito 07;Variación anual;2016;2
Total Nacional;2807907 Madrid distrito 07;Variación anual;2015;1,3
Total Nacional;2807907 Madrid distrito 07;Variación anual;2014;0
Total Nacional;2807907 Madrid distrito 07;Variación anual;2013;-2,2
Total Nacional;2807907 Madrid distrito 07;Variación anual;2012;-0,8
Total Nacional;2807907 Madrid distrito 07;Variación anual;2011;..
Total Nacional;2807908 Madrid distrito 08;Índice;2022;114,739
Total Nacional;2807908 Madrid distrito 08;Índice;2021;112,465
Total Nacional;2807908 Madrid distrito 08;Índice;2020;111,744
Total Nacional;2807908 Madrid distrito 08;Índice;2019;110,581
Total Nacional;2807908 Madrid distrito 08;Índice;2018;106,201
Total Nacional;2807908 Madrid distrito 08;Índice;2017;103,176
Total Nacional;2807908 Madrid distrito 08;Índice;2016;101,487
Total Nacional;2807908 Madrid distrito 08;Índice;2015;100
Total Nacional;2807908 Madrid distrito 08;Índice;2014;99,193
Total Nacional;2807908 Madrid distrito 08;Índice;2013;99,557
Total Nacional;2807908 Madrid distrito 08;Índice;2012;101,995
Total Nacional;2807908 Madrid distrito 08;Índice;2011;102,741
Total Nacional;2807908 Madrid distrito 08;Variación anual;2022;2
Total Nacional;2807908 Madrid distrito 08;Variación anual;2021;0,6
Total Nacional;2807908 Madrid distrito 08;Variación anual;2020;1,1
Total Nacional;2807908 Madrid distrito 08;Variación anual;2019;4,1
Total Nacional;2807908 Madrid distrito 08;Variación anual;2018;2,9
Total Nacional;2807908 Madrid distrito 08;Variación anual;2017;1,7
Total Nacional;2807908 Madrid distrito 08;Variación anual;2016;1,5
Total Nacional;2807908 Madrid distrito 08;Variación anual;2015;0,8
Total Nacional;2807908 Madrid distrito 08;Variación anual;2014;-0,4
Total Nacional;2807908 Madrid distrito 08;Variación anual;2013;-2,4
Total Nacional;2807908 Madrid distrito 08;Variación anual;2012;-0,7
Total Nacional;2807908 Madrid distrito 08;Variación anual;2011;..
Total Nacional;2807909 Madrid distrito 09;Índice;2022;113,989
Total Nacional;2807909 Madrid distrito 09;Índice;2021;110,989
Total Nacional;2807909 Madrid distrito 09;Índice;2020;110,411
Total Nacional;2807909 Madrid distrito 09;Índice;2019;110,606
Total Nacional;2807909 Madrid distrito 09;Índice;2018;106,556
Total Nacional;2807909 Madrid distrito 09;Índice;2017;104,018
Total Nacional;2807909 Madrid distrito 09;Índice;2016;101,758
Total Nacional;2807909 Madrid distrito 09;Índice;2015;100
Total Nacional;2807909 Madrid distrito 09;Índice;2014;99,403
Total Nacional;2807909 Madrid distrito 09;Índice;2013;99,544
Total Nacional;2807909 Madrid distrito 09;Índice;2012;101,81
Total Nacional;2807909 Madrid distrito 09;Índice;2011;102,259
Total Nacional;2807909 Madrid distrito 09;Variación anual;2022;2,7
Total Nacional;2807909 Madrid distrito 09;Variación anual;2021;0,5
Total Nacional;2807909 Madrid distrito 09;Variación anual;2020;-0,2
Total Nacional;2807909 Madrid distrito 09;Variación anual;2019;3,8
Total Nacional;2807909 Madrid distrito 09;Variación anual;2018;2,4
Total Nacional;2807909 Madrid distrito 09;Variación anual;2017;2,2
Total Nacional;2807909 Madrid distrito 09;Variación anual;2016;1,8
Total Nacional;2807909 Madrid distrito 09;Variación anual;2015;0,6
Total Nacional;2807909 Madrid distrito 09;Variación anual;2014;-0,1
Total Nacional;2807909 Madrid distrito 09;Variación anual;2013;-2,2
Total Nacional;2807909 Madrid distrito 09;Variación anual;2012;-0,4
Total Nacional;2807909 Madrid distrito 09;Variación anual;2011;..
Total Nacional;2807910 Madrid distrito 10;Índice;2022;116,159
Total Nacional;2807910 Madrid distrito 10;Índice;2021;113,465
Total Nacional;2807910 Madrid distrito 10;Índice;2020;111,794
Total Nacional;2807910 Madrid distrito 10;Índice;2019;110,969
Total Nacional;2807910 Madrid distrito 10;Índice;2018;106,676
Total Nacional;2807910 Madrid distrito 10;Índice;2017;103,967
Total Nacional;2807910 Madrid distrito 10;Índice;2016;102,05
Total Nacional;2807910 Madrid distrito 10;Índice;2015;100
Total Nacional;2807910 Madrid distrito 10;Índice;2014;99,969
Total Nacional;2807910 Madrid distrito 10;Índice;2013;101,442
Total Nacional;2807910 Madrid distrito 10;Índice;2012;105,441
Total Nacional;2807910 Madrid distrito 10;Índice;2011;107,515
Total Nacional;2807910 Madrid distrito 10;Variación anual;2022;2,4
Total Nacional;2807910 Madrid distrito 10;Variación anual;2021;1,5
Total Nacional;2807910 Madrid distrito 10;Variación anual;2020;0,7
Total Nacional;2807910 Madrid distrito 10;Variación anual;2019;4
Total Nacional;2807910 Madrid distrito 10;Variación anual;2018;2,6
Total Nacional;2807910 Madrid distrito 10;Variación anual;2017;1,9
Total Nacional;2807910 Madrid distrito 10;Variación anual;2016;2
Total Nacional;2807910 Madrid distrito 10;Variación anual;2015;0
Total Nacional;2807910 Madrid distrito 10;Variación anual;2014;-1,5
Total Nacional;2807910 Madrid distrito 10;Variación anual;2013;-3,8
Total Nacional;2807910 Madrid distrito 10;Variación anual;2012;-1,9
Total Nacional;2807910 Madrid distrito 10;Variación anual;2011;..
Total Nacional;2807911 Madrid distrito 11;Índice;2022;116,582
Total Nacional;2807911 Madrid distrito 11;Índice;2021;113,768
Total Nacional;2807911 Madrid distrito 11;Índice;2020;111,956
Total Nacional;2807911 Madrid distrito 11;Índice;2019;111,083
Total Nacional;2807911 Madrid distrito 11;Índice;2018;106,593
Total Nacional;2807911 Madrid distrito 11;Índice;2017;103,773
Total Nacional;2807911 Madrid distrito 11;Índice;2016;101,728
Total Nacional;2807911 Madrid distrito 11;Índice;2015;100
Total Nacional;2807911 Madrid distrito 11;Índice;2014;100,126
Total Nacional;2807911 Madrid distrito 11;Índice;2013;101,981
Total Nacional;2807911 Madrid distrito 11;Índice;2012;106,268
Total Nacional;2807911 Madrid distrito 11;Índice;2011;108,609
Total Nacional;2807911 Madrid distrito 11;Variación anual;2022;2,5
Total Nacional;2807911 Madrid distrito 11;Variación anual;2021;1,6
Total Nacional;2807911 Madrid distrito 11;Variación anual;2020;0,8
Total Nacional;2807911 Madrid distrito 11;Variación anual;2019;4,2
Total Nacional;2807911 Madrid distrito 11;Variación anual;2018;2,7
Total Nacional;2807911 Madrid distrito 11;Variación anual;2017;2
Total Nacional;2807911 Madrid distrito 11;Variación anual;2016;1,7
Total Nacional;2807911 Madrid distrito 11;Variación anual;2015;-0,1
Total Nacional;2807911 Madrid distrito 11;Variación anual;2014;-1,8
Total Nacional;2807911 Madrid distrito 11;Variación anual;2013;-4
Total Nacional;2807911 Madrid distrito 11;Variación anual;2012;-2,2
Total Nacional;2807911 Madrid distrito 11;Variación anual;2011;..
Total Nacional;2807912 Madrid distrito 12;Índice;2022;115,583
Total Nacional;2807912 Madrid distrito 12;Índice;2021;112,907
Total Nacional;2807912 Madrid distrito 12;Índice;2020;110,819
Total Nacional;2807912 Madrid distrito 12;Índice;2019;110,287
Total Nacional;2807912 Madrid distrito 12;Índice;2018;106,004
Total Nacional;2807912 Madrid distrito 12;Índice;2017;103,542
Total Nacional;2807912 Madrid distrito 12;Índice;2016;101,676
Total Nacional;2807912 Madrid distrito 12;Índice;2015;100
Total Nacional;2807912 Madrid distrito 12;Índice;2014;99,691
Total Nacional;2807912 Madrid distrito 12;Índice;2013;100,592
Total Nacional;2807912 Madrid distrito 12;Índice;2012;103,337
Total Nacional;2807912 Madrid distrito 12;Índice;2011;106,201
Total Nacional;2807912 Madrid distrito 12;Variación anual;2022;2,4
Total Nacional;2807912 Madrid distrito 12;Variación anual;2021;1,9
Total Nacional;2807912 Madrid distrito 12;Variación anual;2020;0,5
Total Nacional;2807912 Madrid distrito 12;Variación anual;2019;4
Total Nacional;2807912 Madrid distrito 12;Variación anual;2018;2,4
Total Nacional;2807912 Madrid distrito 12;Variación anual;2017;1,8
Total Nacional;2807912 Madrid distrito 12;Variación anual;2016;1,7
Total Nacional;2807912 Madrid distrito 12;Variación anual;2015;0,3
Total Nacional;2807912 Madrid distrito 12;Variación anual;2014;-0,9
Total Nacional;2807912 Madrid distrito 12;Variación anual;2013;-2,7
Total Nacional;2807912 Madrid distrito 12;Variación anual;2012;-2,7
Total Nacional;2807912 Madrid distrito 12;Variación anual;2011;..
Total Nacional;2807913 Madrid distrito 13;Índice;2022;116,936
Total Nacional;2807913 Madrid distrito 13;Índice;2021;114,298
Total Nacional;2807913 Madrid distrito 13;Índice;2020;112,674
Total Nacional;2807913 Madrid distrito 13;Índice;2019;111,775
Total Nacional;2807913 Madrid distrito 13;Índice;2018;106,874
Total Nacional;2807913 Madrid distrito 13;Índice;2017;104,104
Total Nacional;2807913 Madrid distrito 13;Índice;2016;102,293
Total Nacional;2807913 Madrid distrito 13;Índice;2015;100
Total Nacional;2807913 Madrid distrito 13;Índice;2014;99,964
Total Nacional;2807913 Madrid distrito 13;Índice;2013;101,903
Total Nacional;2807913 Madrid distrito 13;Índice;2012;106,355
Total Nacional;2807913 Madrid distrito 13;Índice;2011;109,006
Total Nacional;2807913 Madrid distrito 13;Variación anual;2022;2,3
Total Nacional;2807913 Madrid distrito 13;Variación anual;2021;1,4
Total Nacional;2807913 Madrid distrito 13;Variación anual;2020;0,8
Total Nacional;2807913 Madrid distrito 13;Variación anual;2019;4,6
Total Nacional;2807913 Madrid distrito 13;Variación anual;2018;2,7
Total Nacional;2807913 Madrid distrito 13;Variación anual;2017;1,8
Total Nacional;2807913 Madrid distrito 13;Variación anual;2016;2,3
Total Nacional;2807913 Madrid distrito 13;Variación anual;2015;0
Total Nacional;2807913 Madrid distrito 13;Variación anual;2014;-1,9
Total Nacional;2807913 Madrid distrito 13;Variación anual;2013;-4,2
Total Nacional;2807913 Madrid distrito 13;Variación anual;2012;-2,4
Total Nacional;2807913 Madrid distrito 13;Variación anual;2011;..
Total Nacional;2807914 Madrid distrito 14;Índice;2022;116,466
Total Nacional;2807914 Madrid distrito 14;Índice;2021;113,836
Total Nacional;2807914 Madrid distrito 14;Índice;2020;112,711
Total Nacional;2807914 Madrid distrito 14;Índice;2019;111,552
Total Nacional;2807914 Madrid distrito 14;Índice;2018;107,069
Total Nacional;2807914 Madrid distrito 14;Índice;2017;103,984
Total Nacional;2807914 Madrid distrito 14;Índice;2016;101,989
Total Nacional;2807914 Madrid distrito 14;Índice;2015;100
Total Nacional;2807914 Madrid distrito 14;Índice;2014;99,814
Total Nacional;2807914 Madrid distrito 14;Índice;2013;102,058
Total Nacional;2807914 Madrid distrito 14;Índice;2012;106,094
Total Nacional;2807914 Madrid distrito 14;Índice;2011;109,383
Total Nacional;2807914 Madrid distrito 14;Variación anual;2022;2,3
Total Nacional;2807914 Madrid distrito 14;Variación anual;2021;1
Total Nacional;2807914 Madrid distrito 14;Variación anual;2020;1
Total Nacional;2807914 Madrid distrito 14;Variación anual;2019;4,2
Total Nacional;2807914 Madrid distrito 14;Variación anual;2018;3
Total Nacional;2807914 Madrid distrito 14;Variación anual;2017;2
Total Nacional;2807914 Madrid distrito 14;Variación anual;2016;2
Total Nacional;2807914 Madrid distrito 14;Variación anual;2015;0,2
Total Nacional;2807914 Madrid distrito 14;Variación anual;2014;-2,2
Total Nacional;2807914 Madrid distrito 14;Variación anual;2013;-3,8
Total Nacional;2807914 Madrid distrito 14;Variación anual;2012;-3
Total Nacional;2807914 Madrid distrito 14;Variación anual;2011;..
Total Nacional;2807915 Madrid distrito 15;Índice;2022;114,501
Total Nacional;2807915 Madrid distrito 15;Índice;2021;112,067
Total Nacional;2807915 Madrid distrito 15;Índice;2020;111,097
Total Nacional;2807915 Madrid distrito 15;Índice;2019;110,307
Total Nacional;2807915 Madrid distrito 15;Índice;2018;105,928
Total Nacional;2807915 Madrid distrito 15;Índice;2017;103,383
Total Nacional;2807915 Madrid distrito 15;Índice;2016;101,649
Total Nacional;2807915 Madrid distrito 15;Índice;2015;100
Total Nacional;2807915 Madrid distrito 15;Índice;2014;99,405
Total Nacional;2807915 Madrid distrito 15;Índice;2013;100,844
Total Nacional;2807915 Madrid distrito 15;Índice;2012;104,625
Total Nacional;2807915 Madrid distrito 15;Índice;2011;106,461
Total Nacional;2807915 Madrid distrito 15;Variación anual;2022;2,2
Total Nacional;2807915 Madrid distrito 15;Variación anual;2021;0,9
Total Nacional;2807915 Madrid distrito 15;Variación anual;2020;0,7
Total Nacional;2807915 Madrid distrito 15;Variación anual;2019;4,1
Total Nacional;2807915 Madrid distrito 15;Variación anual;2018;2,5
Total Nacional;2807915 Madrid distrito 15;Variación anual;2017;1,7
Total Nacional;2807915 Madrid distrito 15;Variación anual;2016;1,6
Total Nacional;2807915 Madrid distrito 15;Variación anual;2015;0,6
Total Nacional;2807915 Madrid distrito 15;Variación anual;2014;-1,4
Total Nacional;2807915 Madrid distrito 15;Variación anual;2013;-3,6
Total Nacional;2807915 Madrid distrito 15;Variación anual;2012;-1,7
Total Nacional;2807915 Madrid distrito 15;Variación anual;2011;..
Total Nacional;2807916 Madrid distrito 16;Índice;2022;114,731
Total Nacional;2807916 Madrid distrito 16;Índice;2021;112,195
Total Nacional;2807916 Madrid distrito 16;Índice;2020;111,698
Total Nacional;2807916 Madrid distrito 16;Índice;2019;111,03
Total Nacional;2807916 Madrid distrito 16;Índice;2018;106,777
Total Nacional;2807916 Madrid distrito 16;Índice;2017;103,847
Total Nacional;2807916 Madrid distrito 16;Índice;2016;101,733
Total Nacional;2807916 Madrid distrito 16;Índice;2015;100
Total Nacional;2807916 Madrid distrito 16;Índice;2014;99,577
Total Nacional;2807916 Madrid distrito 16;Índice;2013;100,332
Total Nacional;2807916 Madrid distrito 16;Índice;2012;103,241
Total Nacional;2807916 Madrid distrito 16;Índice;2011;104,322
