Total Nacional;Comunidades y Ciudades Autónomas;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;05 Canarias;Vivienda unifamiliar;Variación anual;2016;2,5
Total Nacional;05 Canarias;Vivienda unifamiliar;Variación anual;2015;0,6
Total Nacional;05 Canarias;Vivienda unifamiliar;Variación anual;2014;0,9
Total Nacional;05 Canarias;Vivienda unifamiliar;Variación anual;2013;-0,8
Total Nacional;05 Canarias;Vivienda unifamiliar;Variación anual;2012;-0,7
Total Nacional;05 Canarias;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2022;117,007
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2021;113,696
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2020;111,675
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2019;111,08
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2018;106,886
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2017;104,043
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2016;101,865
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2015;100
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2014;99,486
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2013;99,539
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2012;101,219
Total Nacional;05 Canarias;Vivienda colectiva;Índice;2011;102,432
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2022;2,9
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2021;1,8
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2020;0,5
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2019;3,9
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2018;2,7
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2017;2,1
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2016;1,9
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2015;0,5
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2014;-0,1
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2013;-1,7
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2012;-1,2
Total Nacional;05 Canarias;Vivienda colectiva;Variación anual;2011;..
Total Nacional;06 Cantabria;Total;Índice;2022;112,429
Total Nacional;06 Cantabria;Total;Índice;2021;109,83
Total Nacional;06 Cantabria;Total;Índice;2020;107,702
Total Nacional;06 Cantabria;Total;Índice;2019;106,722
Total Nacional;06 Cantabria;Total;Índice;2018;104,36
Total Nacional;06 Cantabria;Total;Índice;2017;103,032
Total Nacional;06 Cantabria;Total;Índice;2016;101,771
Total Nacional;06 Cantabria;Total;Índice;2015;100
Total Nacional;06 Cantabria;Total;Índice;2014;100,523
Total Nacional;06 Cantabria;Total;Índice;2013;101,486
Total Nacional;06 Cantabria;Total;Índice;2012;104,681
Total Nacional;06 Cantabria;Total;Índice;2011;105,457
Total Nacional;06 Cantabria;Total;Variación anual;2022;2,4
Total Nacional;06 Cantabria;Total;Variación anual;2021;2
Total Nacional;06 Cantabria;Total;Variación anual;2020;0,9
Total Nacional;06 Cantabria;Total;Variación anual;2019;2,3
Total Nacional;06 Cantabria;Total;Variación anual;2018;1,3
Total Nacional;06 Cantabria;Total;Variación anual;2017;1,2
Total Nacional;06 Cantabria;Total;Variación anual;2016;1,8
Total Nacional;06 Cantabria;Total;Variación anual;2015;-0,5
Total Nacional;06 Cantabria;Total;Variación anual;2014;-0,9
Total Nacional;06 Cantabria;Total;Variación anual;2013;-3,1
Total Nacional;06 Cantabria;Total;Variación anual;2012;-0,7
Total Nacional;06 Cantabria;Total;Variación anual;2011;..
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2022;111,494
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2021;109,381
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2020;107,534
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2019;106,465
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2018;105,33
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2017;103,944
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2016;103,341
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2015;100
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2014;101,09
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2013;101,462
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2012;103,664
Total Nacional;06 Cantabria;Vivienda unifamiliar;Índice;2011;104,082
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2022;1,9
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2021;1,7
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2020;1
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2019;1,1
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2018;1,3
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2017;0,6
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2016;3,3
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2015;-1,1
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2014;-0,4
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2013;-2,1
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2012;-0,4
Total Nacional;06 Cantabria;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2022;112,55
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2021;109,893
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2020;107,73
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2019;106,761
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2018;104,254
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2017;102,933
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2016;101,596
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2015;100
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2014;100,463
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2013;101,486
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2012;104,775
Total Nacional;06 Cantabria;Vivienda colectiva;Índice;2011;105,583
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2022;2,4
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2021;2
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2020;0,9
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2019;2,4
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2018;1,3
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2017;1,3
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2016;1,6
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2015;-0,5
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2014;-1
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2013;-3,1
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2012;-0,8
Total Nacional;06 Cantabria;Vivienda colectiva;Variación anual;2011;..
Total Nacional;07 Castilla y León;Total;Índice;2022;111,038
Total Nacional;07 Castilla y León;Total;Índice;2021;108,862
Total Nacional;07 Castilla y León;Total;Índice;2020;107,006
Total Nacional;07 Castilla y León;Total;Índice;2019;106,224
Total Nacional;07 Castilla y León;Total;Índice;2018;103,967
Total Nacional;07 Castilla y León;Total;Índice;2017;102,536
Total Nacional;07 Castilla y León;Total;Índice;2016;101,464
Total Nacional;07 Castilla y León;Total;Índice;2015;100
Total Nacional;07 Castilla y León;Total;Índice;2014;100,525
Total Nacional;07 Castilla y León;Total;Índice;2013;101,087
Total Nacional;07 Castilla y León;Total;Índice;2012;103,127
Total Nacional;07 Castilla y León;Total;Índice;2011;104,047
Total Nacional;07 Castilla y León;Total;Variación anual;2022;2
Total Nacional;07 Castilla y León;Total;Variación anual;2021;1,7
Total Nacional;07 Castilla y León;Total;Variación anual;2020;0,7
Total Nacional;07 Castilla y León;Total;Variación anual;2019;2,2
Total Nacional;07 Castilla y León;Total;Variación anual;2018;1,4
Total Nacional;07 Castilla y León;Total;Variación anual;2017;1,1
Total Nacional;07 Castilla y León;Total;Variación anual;2016;1,5
Total Nacional;07 Castilla y León;Total;Variación anual;2015;-0,5
Total Nacional;07 Castilla y León;Total;Variación anual;2014;-0,6
Total Nacional;07 Castilla y León;Total;Variación anual;2013;-2
Total Nacional;07 Castilla y León;Total;Variación anual;2012;-0,9
Total Nacional;07 Castilla y León;Total;Variación anual;2011;..
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2022;109,296
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2021;107,625
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2020;105,869
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2019;105,103
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2018;104,552
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2017;103,03
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2016;102,023
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2015;100
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2014;100,464
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2013;99,842
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2012;101,179
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Índice;2011;101,183
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2022;1,6
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2021;1,7
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2020;0,7
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2019;0,5
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2018;1,5
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2017;1
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2016;2
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2015;-0,5
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2014;0,6
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2013;-1,3
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2012;0
Total Nacional;07 Castilla y León;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2022;111,215
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2021;108,986
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2020;107,119
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2019;106,336
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2018;103,911
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2017;102,49
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2016;101,411
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2015;100
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2014;100,53
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2013;101,196
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2012;103,294
Total Nacional;07 Castilla y León;Vivienda colectiva;Índice;2011;104,288
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2022;2
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2021;1,7
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2020;0,7
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2019;2,3
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2018;1,4
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2017;1,1
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2016;1,4
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2015;-0,5
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2014;-0,7
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2013;-2
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2012;-1
Total Nacional;07 Castilla y León;Vivienda colectiva;Variación anual;2011;..
Total Nacional;08 Castilla - La Mancha;Total;Índice;2022;115,736
Total Nacional;08 Castilla - La Mancha;Total;Índice;2021;112,728
Total Nacional;08 Castilla - La Mancha;Total;Índice;2020;110,105
Total Nacional;08 Castilla - La Mancha;Total;Índice;2019;108,392
Total Nacional;08 Castilla - La Mancha;Total;Índice;2018;104,8
Total Nacional;08 Castilla - La Mancha;Total;Índice;2017;102,895
Total Nacional;08 Castilla - La Mancha;Total;Índice;2016;101,469
Total Nacional;08 Castilla - La Mancha;Total;Índice;2015;100
Total Nacional;08 Castilla - La Mancha;Total;Índice;2014;101,236
Total Nacional;08 Castilla - La Mancha;Total;Índice;2013;103,2
Total Nacional;08 Castilla - La Mancha;Total;Índice;2012;107,567
Total Nacional;08 Castilla - La Mancha;Total;Índice;2011;110,569
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2022;2,7
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2021;2,4
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2020;1,6
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2019;3,4
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2018;1,9
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2017;1,4
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2016;1,5
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2015;-1,2
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2014;-1,9
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2013;-4,1
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2012;-2,7
Total Nacional;08 Castilla - La Mancha;Total;Variación anual;2011;..
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2022;112,927
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2021;110,659
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2020;108,489
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2019;107,039
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2018;104,554
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2017;103,032
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2016;101,212
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2015;100
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2014;100,795
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2013;101,908
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2012;105,631
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Índice;2011;107,974
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2022;2
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2021;2
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2020;1,4
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2019;2,4
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2018;1,5
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2017;1,8
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2016;1,2
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2015;-0,8
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2014;-1,1
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2013;-3,5
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2012;-2,2
Total Nacional;08 Castilla - La Mancha;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2022;116,511
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2021;113,299
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2020;110,546
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2019;108,761
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2018;104,866
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2017;102,856
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2016;101,535
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2015;100
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2014;101,346
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2013;103,51
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2012;108,018
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Índice;2011;111,155
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2022;2,8
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2021;2,5
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2020;1,6
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2019;3,7
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2018;2
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2017;1,3
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2016;1,5
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2015;-1,3
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2014;-2,1
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2013;-4,2
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2012;-2,8
Total Nacional;08 Castilla - La Mancha;Vivienda colectiva;Variación anual;2011;..
Total Nacional;09 Cataluña;Total;Índice;2022;116,791
Total Nacional;09 Cataluña;Total;Índice;2021;113,876
Total Nacional;09 Cataluña;Total;Índice;2020;112,364
Total Nacional;09 Cataluña;Total;Índice;2019;111,172
Total Nacional;09 Cataluña;Total;Índice;2018;107,312
Total Nacional;09 Cataluña;Total;Índice;2017;103,913
Total Nacional;09 Cataluña;Total;Índice;2016;101,712
Total Nacional;09 Cataluña;Total;Índice;2015;100
Total Nacional;09 Cataluña;Total;Índice;2014;99,46
Total Nacional;09 Cataluña;Total;Índice;2013;100,193
Total Nacional;09 Cataluña;Total;Índice;2012;102,865
Total Nacional;09 Cataluña;Total;Índice;2011;104,675
Total Nacional;09 Cataluña;Total;Variación anual;2022;2,6
Total Nacional;09 Cataluña;Total;Variación anual;2021;1,3
Total Nacional;09 Cataluña;Total;Variación anual;2020;1,1
Total Nacional;09 Cataluña;Total;Variación anual;2019;3,6
Total Nacional;09 Cataluña;Total;Variación anual;2018;3,3
Total Nacional;09 Cataluña;Total;Variación anual;2017;2,2
Total Nacional;09 Cataluña;Total;Variación anual;2016;1,7
Total Nacional;09 Cataluña;Total;Variación anual;2015;0,5
Total Nacional;09 Cataluña;Total;Variación anual;2014;-0,7
Total Nacional;09 Cataluña;Total;Variación anual;2013;-2,6
Total Nacional;09 Cataluña;Total;Variación anual;2012;-1,7
Total Nacional;09 Cataluña;Total;Variación anual;2011;..
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2022;111,887
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2021;109,219
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2020;107,1
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2019;106,16
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2018;105,097
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2017;103,177
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2016;101,75
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2015;100
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2014;99,057
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2013;98,804
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2012;100,102
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2011;101,362
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2022;2,4
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2021;2
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2020;0,9
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2019;1
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2018;1,9
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2017;1,4
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2016;1,7
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2015;1
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2014;0,3
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2013;-1,3
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2012;-1,2
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2022;117,408
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2021;114,461
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2020;113,028
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2019;111,805
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2018;107,596
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2017;104,01
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2016;101,708
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2015;100
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2014;99,511
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2013;100,366
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2012;103,202
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2011;105,076
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2022;2,6
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2021;1,3
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2020;1,1
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2019;3,9
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2018;3,4
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2017;2,3
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2016;1,7
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2015;0,5
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2014;-0,9
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2013;-2,7
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2012;-1,8
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;Total;Índice;2022;118,716
Total Nacional;10 Comunitat Valenciana;Total;Índice;2021;114,679
Total Nacional;10 Comunitat Valenciana;Total;Índice;2020;111,732
Total Nacional;10 Comunitat Valenciana;Total;Índice;2019;110,086
Total Nacional;10 Comunitat Valenciana;Total;Índice;2018;105,974
Total Nacional;10 Comunitat Valenciana;Total;Índice;2017;103,417
Total Nacional;10 Comunitat Valenciana;Total;Índice;2016;101,675
Total Nacional;10 Comunitat Valenciana;Total;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;Total;Índice;2014;99,841
Total Nacional;10 Comunitat Valenciana;Total;Índice;2013;100,927
Total Nacional;10 Comunitat Valenciana;Total;Índice;2012;103,898
Total Nacional;10 Comunitat Valenciana;Total;Índice;2011;106,151
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2022;3,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2021;2,6
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2020;1,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2019;3,9
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2018;2,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2017;1,7
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2016;1,7
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2015;0,2
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2014;-1,1
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2013;-2,9
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2012;-2,1
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2022;113,46
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2021;110,448
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2020;107,797
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2019;106,627
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2018;104,639
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2017;102,609
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2016;101,502
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2014;99,237
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2013;99,539
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2012;101,073
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2011;102,544
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2022;2,7
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2021;2,5
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2020;1,1
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2019;1,9
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2018;2
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2017;1,1
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2016;1,5
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2015;0,8
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2014;-0,3
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2013;-1,5
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2012;-1,4
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2022;119,46
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2021;115,276
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2020;112,286
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2019;110,573
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2018;106,16
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2017;103,529
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2016;101,699
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2014;99,921
