Total Nacional;Provincias;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;27 Lugo;Vivienda colectiva;Índice;2016;100,732
Total Nacional;27 Lugo;Vivienda colectiva;Índice;2015;100
Total Nacional;27 Lugo;Vivienda colectiva;Índice;2014;100,378
Total Nacional;27 Lugo;Vivienda colectiva;Índice;2013;100,717
Total Nacional;27 Lugo;Vivienda colectiva;Índice;2012;102,95
Total Nacional;27 Lugo;Vivienda colectiva;Índice;2011;103,048
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2022;2,3
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2021;1,9
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2020;0,8
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2019;2,6
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2018;0,5
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2017;0,6
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2016;0,7
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2015;-0,4
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2014;-0,3
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2013;-2,2
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2012;-0,1
Total Nacional;27 Lugo;Vivienda colectiva;Variación anual;2011;..
Total Nacional;28 Madrid;Total;Índice;2022;115,294
Total Nacional;28 Madrid;Total;Índice;2021;112,539
Total Nacional;28 Madrid;Total;Índice;2020;111,433
Total Nacional;28 Madrid;Total;Índice;2019;110,717
Total Nacional;28 Madrid;Total;Índice;2018;106,485
Total Nacional;28 Madrid;Total;Índice;2017;103,653
Total Nacional;28 Madrid;Total;Índice;2016;101,755
Total Nacional;28 Madrid;Total;Índice;2015;100
Total Nacional;28 Madrid;Total;Índice;2014;99,568
Total Nacional;28 Madrid;Total;Índice;2013;100,486
Total Nacional;28 Madrid;Total;Índice;2012;103,681
Total Nacional;28 Madrid;Total;Índice;2011;105,271
Total Nacional;28 Madrid;Total;Variación anual;2022;2,4
Total Nacional;28 Madrid;Total;Variación anual;2021;1
Total Nacional;28 Madrid;Total;Variación anual;2020;0,6
Total Nacional;28 Madrid;Total;Variación anual;2019;4
Total Nacional;28 Madrid;Total;Variación anual;2018;2,7
Total Nacional;28 Madrid;Total;Variación anual;2017;1,9
Total Nacional;28 Madrid;Total;Variación anual;2016;1,8
Total Nacional;28 Madrid;Total;Variación anual;2015;0,4
Total Nacional;28 Madrid;Total;Variación anual;2014;-0,9
Total Nacional;28 Madrid;Total;Variación anual;2013;-3,1
Total Nacional;28 Madrid;Total;Variación anual;2012;-1,5
Total Nacional;28 Madrid;Total;Variación anual;2011;..
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2022;111,966
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2021;109,206
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2020;107,279
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2019;106,716
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2018;104,718
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2017;102,999
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2016;101,305
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2015;100
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2014;99,205
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2013;99,86
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2012;102,578
Total Nacional;28 Madrid;Vivienda unifamiliar;Índice;2011;104,787
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2022;2,5
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2021;1,8
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2020;0,5
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2019;1,9
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2018;1,7
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2017;1,7
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2016;1,3
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2015;0,8
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2014;-0,7
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2013;-2,6
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2012;-2,1
Total Nacional;28 Madrid;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2022;115,529
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2021;112,774
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2020;111,724
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2019;110,998
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2018;106,612
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2017;103,701
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2016;101,787
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2015;100
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2014;99,594
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2013;100,531
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2012;103,757
Total Nacional;28 Madrid;Vivienda colectiva;Índice;2011;105,308
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2022;2,4
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2021;0,9
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2020;0,7
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2019;4,1
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2018;2,8
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2017;1,9
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2016;1,8
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2015;0,4
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2014;-0,9
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2013;-3,1
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2012;-1,5
Total Nacional;28 Madrid;Vivienda colectiva;Variación anual;2011;..
Total Nacional;29 Málaga;Total;Índice;2022;119,999
Total Nacional;29 Málaga;Total;Índice;2021;115,982
Total Nacional;29 Málaga;Total;Índice;2020;113,848
Total Nacional;29 Málaga;Total;Índice;2019;113,084
Total Nacional;29 Málaga;Total;Índice;2018;108,35
Total Nacional;29 Málaga;Total;Índice;2017;104,819
Total Nacional;29 Málaga;Total;Índice;2016;102,445
Total Nacional;29 Málaga;Total;Índice;2015;100
Total Nacional;29 Málaga;Total;Índice;2014;99,676
Total Nacional;29 Málaga;Total;Índice;2013;99,914
Total Nacional;29 Málaga;Total;Índice;2012;102,252
Total Nacional;29 Málaga;Total;Índice;2011;103,957
Total Nacional;29 Málaga;Total;Variación anual;2022;3,5
Total Nacional;29 Málaga;Total;Variación anual;2021;1,9
Total Nacional;29 Málaga;Total;Variación anual;2020;0,7
Total Nacional;29 Málaga;Total;Variación anual;2019;4,4
Total Nacional;29 Málaga;Total;Variación anual;2018;3,4
Total Nacional;29 Málaga;Total;Variación anual;2017;2,3
Total Nacional;29 Málaga;Total;Variación anual;2016;2,4
Total Nacional;29 Málaga;Total;Variación anual;2015;0,3
Total Nacional;29 Málaga;Total;Variación anual;2014;-0,2
Total Nacional;29 Málaga;Total;Variación anual;2013;-2,3
Total Nacional;29 Málaga;Total;Variación anual;2012;-1,6
Total Nacional;29 Málaga;Total;Variación anual;2011;..
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2022;115,801
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2021;112,534
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2020;110,402
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2019;110,299
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2018;108,019
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2017;104,804
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2016;101,993
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2015;100
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2014;99,125
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2013;98,588
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2012;100,312
Total Nacional;29 Málaga;Vivienda unifamiliar;Índice;2011;101,607
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2022;2,9
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2021;1,9
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2020;0,1
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2019;2,1
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2018;3,1
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2017;2,8
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2016;2
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2015;0,9
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2014;0,5
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2013;-1,7
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2012;-1,3
Total Nacional;29 Málaga;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2022;120,685
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2021;116,541
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2020;114,407
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2019;113,537
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2018;108,405
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2017;104,823
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2016;102,517
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2015;100
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2014;99,762
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2013;100,117
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2012;102,538
Total Nacional;29 Málaga;Vivienda colectiva;Índice;2011;104,296
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2022;3,6
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2021;1,9
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2020;0,8
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2019;4,7
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2018;3,4
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2017;2,2
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2016;2,5
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2015;0,2
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2014;-0,4
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2013;-2,4
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2012;-1,7
Total Nacional;29 Málaga;Vivienda colectiva;Variación anual;2011;..
Total Nacional;30 Murcia;Total;Índice;2022;114,904
Total Nacional;30 Murcia;Total;Índice;2021;111,978
Total Nacional;30 Murcia;Total;Índice;2020;109,418
Total Nacional;30 Murcia;Total;Índice;2019;108,057
Total Nacional;30 Murcia;Total;Índice;2018;104,953
Total Nacional;30 Murcia;Total;Índice;2017;102,814
Total Nacional;30 Murcia;Total;Índice;2016;101,493
Total Nacional;30 Murcia;Total;Índice;2015;100
Total Nacional;30 Murcia;Total;Índice;2014;100,279
Total Nacional;30 Murcia;Total;Índice;2013;101,307
Total Nacional;30 Murcia;Total;Índice;2012;104,461
Total Nacional;30 Murcia;Total;Índice;2011;106,614
Total Nacional;30 Murcia;Total;Variación anual;2022;2,6
Total Nacional;30 Murcia;Total;Variación anual;2021;2,3
Total Nacional;30 Murcia;Total;Variación anual;2020;1,3
Total Nacional;30 Murcia;Total;Variación anual;2019;3
Total Nacional;30 Murcia;Total;Variación anual;2018;2,1
Total Nacional;30 Murcia;Total;Variación anual;2017;1,3
Total Nacional;30 Murcia;Total;Variación anual;2016;1,5
Total Nacional;30 Murcia;Total;Variación anual;2015;-0,3
Total Nacional;30 Murcia;Total;Variación anual;2014;-1
Total Nacional;30 Murcia;Total;Variación anual;2013;-3
Total Nacional;30 Murcia;Total;Variación anual;2012;-2
Total Nacional;30 Murcia;Total;Variación anual;2011;..
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2022;110,735
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2021;108,746
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2020;106,892
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2019;105,779
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2018;103,682
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2017;101,975
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2016;101,468
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2015;100
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2014;100,52
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2013;101,029
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2012;104,514
Total Nacional;30 Murcia;Vivienda unifamiliar;Índice;2011;106,182
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2022;1,8
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2021;1,7
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2020;1,1
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2019;2
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2018;1,7
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2017;0,5
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2016;1,5
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2015;-0,5
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2014;-0,5
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2013;-3,3
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2012;-1,6
Total Nacional;30 Murcia;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2022;115,905
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2021;112,749
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2020;110,014
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2019;108,594
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2018;105,251
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2017;103,01
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2016;101,498
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2015;100
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2014;100,224
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2013;101,366
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2012;104,45
Total Nacional;30 Murcia;Vivienda colectiva;Índice;2011;106,701
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2022;2,8
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2021;2,5
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2020;1,3
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2019;3,2
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2018;2,2
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2017;1,5
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2016;1,5
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2015;-0,2
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2014;-1,1
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2013;-3
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2012;-2,1
Total Nacional;30 Murcia;Vivienda colectiva;Variación anual;2011;..
Total Nacional;32 Ourense;Total;Índice;2022;109,81
Total Nacional;32 Ourense;Total;Índice;2021;107,778
Total Nacional;32 Ourense;Total;Índice;2020;105,863
Total Nacional;32 Ourense;Total;Índice;2019;105,283
Total Nacional;32 Ourense;Total;Índice;2018;102,795
Total Nacional;32 Ourense;Total;Índice;2017;101,614
Total Nacional;32 Ourense;Total;Índice;2016;100,68
Total Nacional;32 Ourense;Total;Índice;2015;100
Total Nacional;32 Ourense;Total;Índice;2014;100,158
Total Nacional;32 Ourense;Total;Índice;2013;100,567
Total Nacional;32 Ourense;Total;Índice;2012;101,637
Total Nacional;32 Ourense;Total;Índice;2011;101,355
Total Nacional;32 Ourense;Total;Variación anual;2022;1,9
Total Nacional;32 Ourense;Total;Variación anual;2021;1,8
Total Nacional;32 Ourense;Total;Variación anual;2020;0,6
Total Nacional;32 Ourense;Total;Variación anual;2019;2,4
Total Nacional;32 Ourense;Total;Variación anual;2018;1,2
Total Nacional;32 Ourense;Total;Variación anual;2017;0,9
Total Nacional;32 Ourense;Total;Variación anual;2016;0,7
Total Nacional;32 Ourense;Total;Variación anual;2015;-0,2
Total Nacional;32 Ourense;Total;Variación anual;2014;-0,4
Total Nacional;32 Ourense;Total;Variación anual;2013;-1,1
Total Nacional;32 Ourense;Total;Variación anual;2012;0,3
Total Nacional;32 Ourense;Total;Variación anual;2011;..
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2022;109,175
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2021;108,224
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2020;105,849
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2019;104,937
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2018;102,792
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2017;101,033
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2016;100,592
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2015;100
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2014;98,831
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2013;98,18
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2012;99,164
Total Nacional;32 Ourense;Vivienda unifamiliar;Índice;2011;98,726
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2022;0,9
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2021;2,2
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2020;0,9
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2019;2,1
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2018;1,7
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2017;0,4
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2016;0,6
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2015;1,2
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2014;0,7
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2013;-1
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2012;0,4
Total Nacional;32 Ourense;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2022;109,874
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2021;107,728
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2020;105,858
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2019;105,305
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2018;102,793
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2017;101,654
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2016;100,686
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2015;100
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2014;100,239
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2013;100,712
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2012;101,786
Total Nacional;32 Ourense;Vivienda colectiva;Índice;2011;101,512
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2022;2
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2021;1,8
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2020;0,5
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2019;2,4
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2018;1,1
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2017;1
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2016;0,7
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2015;-0,2
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2014;-0,5
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2013;-1,1
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2012;0,3
Total Nacional;32 Ourense;Vivienda colectiva;Variación anual;2011;..
Total Nacional;33 Asturias;Total;Índice;2022;109,909
Total Nacional;33 Asturias;Total;Índice;2021;107,998
Total Nacional;33 Asturias;Total;Índice;2020;106,446
Total Nacional;33 Asturias;Total;Índice;2019;105,52
Total Nacional;33 Asturias;Total;Índice;2018;103,399
Total Nacional;33 Asturias;Total;Índice;2017;102,187
Total Nacional;33 Asturias;Total;Índice;2016;101,202
Total Nacional;33 Asturias;Total;Índice;2015;100
Total Nacional;33 Asturias;Total;Índice;2014;100,339
Total Nacional;33 Asturias;Total;Índice;2013;100,732
Total Nacional;33 Asturias;Total;Índice;2012;102,74
Total Nacional;33 Asturias;Total;Índice;2011;103,079
Total Nacional;33 Asturias;Total;Variación anual;2022;1,8
Total Nacional;33 Asturias;Total;Variación anual;2021;1,5
Total Nacional;33 Asturias;Total;Variación anual;2020;0,9
Total Nacional;33 Asturias;Total;Variación anual;2019;2,1
Total Nacional;33 Asturias;Total;Variación anual;2018;1,2
Total Nacional;33 Asturias;Total;Variación anual;2017;1
Total Nacional;33 Asturias;Total;Variación anual;2016;1,2
Total Nacional;33 Asturias;Total;Variación anual;2015;-0,3
Total Nacional;33 Asturias;Total;Variación anual;2014;-0,4
Total Nacional;33 Asturias;Total;Variación anual;2013;-2
Total Nacional;33 Asturias;Total;Variación anual;2012;-0,3
Total Nacional;33 Asturias;Total;Variación anual;2011;..
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2022;108,988
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2021;107,262
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2020;105,596
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2019;104,093
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2018;103,093
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2017;102,115
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2016;101,369
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2015;100
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2014;99,848
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2013;99,376
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2012;100,084
Total Nacional;33 Asturias;Vivienda unifamiliar;Índice;2011;100,673
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2022;1,6
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2021;1,6
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2020;1,4
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2019;1
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2018;1
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2017;0,7
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2016;1,4
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2015;0,2
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2014;0,5
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2013;-0,7
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2012;-0,6
Total Nacional;33 Asturias;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2022;109,972
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2021;108,048
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2020;106,504
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2019;105,617
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2018;103,421
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2017;102,193
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2016;101,191
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2015;100
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2014;100,37
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2013;100,815
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2012;102,89
Total Nacional;33 Asturias;Vivienda colectiva;Índice;2011;103,217
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2022;1,8
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2021;1,4
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2020;0,8
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2019;2,1
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2018;1,2
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2017;1
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2016;1,2
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2015;-0,4
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2014;-0,4
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2013;-2
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2012;-0,3
Total Nacional;33 Asturias;Vivienda colectiva;Variación anual;2011;..
Total Nacional;34 Palencia;Total;Índice;2022;109,967
Total Nacional;34 Palencia;Total;Índice;2021;108,46
Total Nacional;34 Palencia;Total;Índice;2020;107,371
Total Nacional;34 Palencia;Total;Índice;2019;106,451
Total Nacional;34 Palencia;Total;Índice;2018;104,603
Total Nacional;34 Palencia;Total;Índice;2017;103,057
Total Nacional;34 Palencia;Total;Índice;2016;102,001
Total Nacional;34 Palencia;Total;Índice;2015;100
Total Nacional;34 Palencia;Total;Índice;2014;100,106
Total Nacional;34 Palencia;Total;Índice;2013;99,963
Total Nacional;34 Palencia;Total;Índice;2012;101,145
Total Nacional;34 Palencia;Total;Índice;2011;100,787
Total Nacional;34 Palencia;Total;Variación anual;2022;1,4
Total Nacional;34 Palencia;Total;Variación anual;2021;1
Total Nacional;34 Palencia;Total;Variación anual;2020;0,9
Total Nacional;34 Palencia;Total;Variación anual;2019;1,8
Total Nacional;34 Palencia;Total;Variación anual;2018;1,5
Total Nacional;34 Palencia;Total;Variación anual;2017;1
Total Nacional;34 Palencia;Total;Variación anual;2016;2
Total Nacional;34 Palencia;Total;Variación anual;2015;-0,1
Total Nacional;34 Palencia;Total;Variación anual;2014;0,1
Total Nacional;34 Palencia;Total;Variación anual;2013;-1,2
Total Nacional;34 Palencia;Total;Variación anual;2012;0,4
Total Nacional;34 Palencia;Total;Variación anual;2011;..
Total Nacional;34 Palencia;Vivienda unifamiliar;Índice;2022;108,572
Total Nacional;34 Palencia;Vivienda unifamiliar;Índice;2021;106,506
Total Nacional;34 Palencia;Vivienda unifamiliar;Índice;2020;106,478
Total Nacional;34 Palencia;Vivienda unifamiliar;Índice;2019;105,348
Total Nacional;34 Palencia;Vivienda unifamiliar;Índice;2018;106,18
Total Nacional;34 Palencia;Vivienda unifamiliar;Índice;2017;104,915
Total Nacional;34 Palencia;Vivienda unifamiliar;Índice;2016;103,416
Total Nacional;34 Palencia;Vivienda unifamiliar;Índice;2015;100
