Tipo de transmitiente;Tipo de titular;Periodo;Total
Persona jurídica;Persona física;2022M05;19,3
Persona jurídica;Persona física;2022M04;20,5
Persona jurídica;Persona física;2022M03;20,9
Persona jurídica;Persona física;2022M02;22
Persona jurídica;Persona física;2022M01;21,2
Persona jurídica;Persona física;2021M12;19,9
Persona jurídica;Persona física;2021M11;20,7
Persona jurídica;Persona física;2021M10;21
Persona jurídica;Persona física;2021M09;20,8
Persona jurídica;Persona física;2021M08;19,8
Persona jurídica;Persona física;2021M07;19,8
Persona jurídica;Persona física;2021M06;20,5
Persona jurídica;Persona física;2021M05;20,9
Persona jurídica;Persona física;2021M04;22,2
Persona jurídica;Persona física;2021M03;23,2
Persona jurídica;Persona física;2021M02;24,4
Persona jurídica;Persona física;2021M01;22,3
Persona jurídica;Persona física;2020M12;21,4
Persona jurídica;Persona física;2020M11;22,1
Persona jurídica;Persona física;2020M10;22,3
Persona jurídica;Persona física;2020M09;23
Persona jurídica;Persona física;2020M08;23,4
Persona jurídica;Persona física;2020M07;22,3
Persona jurídica;Persona física;2020M06;21,1
Persona jurídica;Persona física;2020M05;20,5
Persona jurídica;Persona física;2020M04;19,1
Persona jurídica;Persona física;2020M03;18,5
Persona jurídica;Persona física;2020M02;20,7
Persona jurídica;Persona física;2020M01;20,1
Persona jurídica;Persona física;2019M12;20,7
Persona jurídica;Persona física;2019M11;19,3
Persona jurídica;Persona física;2019M10;18,8
Persona jurídica;Persona física;2019M09;18,1
Persona jurídica;Persona física;2019M08;18,8
Persona jurídica;Persona física;2019M07;18,5
Persona jurídica;Persona física;2019M06;18,2
Persona jurídica;Persona física;2019M05;18,4
Persona jurídica;Persona física;2019M04;18,4
Persona jurídica;Persona física;2019M03;19,5
Persona jurídica;Persona física;2019M02;20,3
Persona jurídica;Persona física;2019M01;20,6
Persona jurídica;Persona física;2018M12;20,7
Persona jurídica;Persona física;2018M11;20,1
Persona jurídica;Persona física;2018M10;19,8
Persona jurídica;Persona física;2018M09;20,6
Persona jurídica;Persona física;2018M08;19,6
Persona jurídica;Persona física;2018M07;18,6
Persona jurídica;Persona física;2018M06;18,9
Persona jurídica;Persona física;2018M05;18,3
Persona jurídica;Persona física;2018M04;19,4
Persona jurídica;Persona física;2018M03;19,3
Persona jurídica;Persona física;2018M02;19,7
Persona jurídica;Persona física;2018M01;20,2
Persona jurídica;Persona física;2017M12;20
Persona jurídica;Persona física;2017M11;19,1
Persona jurídica;Persona física;2017M10;20,5
Persona jurídica;Persona física;2017M09;21,4
Persona jurídica;Persona física;2017M08;20,7
Persona jurídica;Persona física;2017M07;20,2
Persona jurídica;Persona física;2017M06;20,4
Persona jurídica;Persona física;2017M05;20
Persona jurídica;Persona física;2017M04;20,3
Persona jurídica;Persona física;2017M03;20,8
Persona jurídica;Persona física;2017M02;22,7
Persona jurídica;Persona física;2017M01;22,6
Persona jurídica;Persona física;2016M12;22,3
Persona jurídica;Persona física;2016M11;21,9
Persona jurídica;Persona física;2016M10;22,2
Persona jurídica;Persona física;2016M09;21,8
Persona jurídica;Persona física;2016M08;22,2
Persona jurídica;Persona física;2016M07;22
Persona jurídica;Persona física;2016M06;22,3
Persona jurídica;Persona física;2016M05;21,9
Persona jurídica;Persona física;2016M04;22,1
Persona jurídica;Persona física;2016M03;22,2
Persona jurídica;Persona física;2016M02;23,4
Persona jurídica;Persona física;2016M01;24,1
Persona jurídica;Persona física;2015M12;23,6
Persona jurídica;Persona física;2015M11;23,7
Persona jurídica;Persona física;2015M10;22,9
Persona jurídica;Persona física;2015M09;24,2
Persona jurídica;Persona física;2015M08;24,1
Persona jurídica;Persona física;2015M07;24,2
Persona jurídica;Persona física;2015M06;24,9
Persona jurídica;Persona física;2015M05;24,3
Persona jurídica;Persona física;2015M04;25,5
Persona jurídica;Persona física;2015M03;26,1
Persona jurídica;Persona física;2015M02;24,4
Persona jurídica;Persona física;2015M01;24,6
Persona jurídica;Persona física;2014M12;25,7
Persona jurídica;Persona física;2014M11;27,3
Persona jurídica;Persona física;2014M10;26,9
Persona jurídica;Persona física;2014M09;26,9
Persona jurídica;Persona física;2014M08;26,7
Persona jurídica;Persona física;2014M07;27,3
Persona jurídica;Persona física;2014M06;27,8
Persona jurídica;Persona física;2014M05;28,4
Persona jurídica;Persona física;2014M04;28,8
Persona jurídica;Persona física;2014M03;28,3
Persona jurídica;Persona física;2014M02;29,8
Persona jurídica;Persona física;2014M01;28,2
Persona jurídica;Persona física;2013M12;27,2
Persona jurídica;Persona física;2013M11;28,1
Persona jurídica;Persona física;2013M10;27,9
Persona jurídica;Persona física;2013M09;27,1
Persona jurídica;Persona física;2013M08;27,4
Persona jurídica;Persona física;2013M07;28,6
Persona jurídica;Persona física;2013M06;28,1
Persona jurídica;Persona física;2013M05;28,4
Persona jurídica;Persona física;2013M04;28,5
Persona jurídica;Persona física;2013M03;31,3
Persona jurídica;Persona física;2013M02;37,9
Persona jurídica;Persona física;2013M01;39,2
Persona jurídica;Persona física;2012M12;34,3
Persona jurídica;Persona física;2012M11;34,6
Persona jurídica;Persona física;2012M10;32
Persona jurídica;Persona física;2012M09;34,4
Persona jurídica;Persona física;2012M08;32,6
Persona jurídica;Persona física;2012M07;33,8
Persona jurídica;Persona física;2012M06;31,1
Persona jurídica;Persona física;2012M05;31,6
Persona jurídica;Persona física;2012M04;29,3
Persona jurídica;Persona física;2012M03;26,9
Persona jurídica;Persona física;2012M02;32,7
Persona jurídica;Persona física;2012M01;35
Persona jurídica;Persona física;2011M12;31,9
Persona jurídica;Persona física;2011M11;29,6
Persona jurídica;Persona física;2011M10;29,9
Persona jurídica;Persona física;2011M09;30,4
Persona jurídica;Persona física;2011M08;28,8
Persona jurídica;Persona física;2011M07;25,1
Persona jurídica;Persona física;2011M06;28,3
Persona jurídica;Persona física;2011M05;26,5
Persona jurídica;Persona física;2011M04;23,2
Persona jurídica;Persona física;2011M03;22,6
Persona jurídica;Persona física;2011M02;23,4
Persona jurídica;Persona física;2011M01;22,2
Persona jurídica;Persona física;2010M12;21,2
Persona jurídica;Persona física;2010M11;22,3
Persona jurídica;Persona física;2010M10;21,3
Persona jurídica;Persona física;2010M09;22,5
Persona jurídica;Persona física;2010M08;23,9
Persona jurídica;Persona física;2010M07;25,3
Persona jurídica;Persona física;2010M06;23,5
Persona jurídica;Persona física;2010M05;24,6
Persona jurídica;Persona física;2010M04;24
Persona jurídica;Persona física;2010M03;24,1
Persona jurídica;Persona física;2010M02;27
Persona jurídica;Persona física;2010M01;25,6
Persona jurídica;Persona física;2009M12;26,1
Persona jurídica;Persona física;2009M11;27,3
Persona jurídica;Persona física;2009M10;26,8
Persona jurídica;Persona física;2009M09;27,5
Persona jurídica;Persona física;2009M08;26,9
Persona jurídica;Persona física;2009M07;26,3
Persona jurídica;Persona física;2009M06;28,3
Persona jurídica;Persona física;2009M05;29,5
Persona jurídica;Persona física;2009M04;30,5
Persona jurídica;Persona física;2009M03;29,7
Persona jurídica;Persona física;2009M02;30,7
Persona jurídica;Persona física;2009M01;32,1
Persona jurídica;Persona física;2008M12;33,4
Persona jurídica;Persona física;2008M11;31,4
Persona jurídica;Persona física;2008M10;33,8
Persona jurídica;Persona física;2008M09;34,9
Persona jurídica;Persona física;2008M08;32,5
Persona jurídica;Persona física;2008M07;31,9
Persona jurídica;Persona física;2008M06;30,4
Persona jurídica;Persona física;2008M05;31,4
Persona jurídica;Persona física;2008M04;31
Persona jurídica;Persona física;2008M03;30,4
Persona jurídica;Persona física;2008M02;30,1
Persona jurídica;Persona física;2008M01;29,7
Persona jurídica;Persona física;2007M12;29
Persona jurídica;Persona física;2007M11;27,2
Persona jurídica;Persona física;2007M10;27,4
Persona jurídica;Persona física;2007M09;27
Persona jurídica;Persona física;2007M08;26,5
Persona jurídica;Persona física;2007M07;24,7
Persona jurídica;Persona física;2007M06;25,3
Persona jurídica;Persona física;2007M05;24,2
Persona jurídica;Persona física;2007M04;22,8
Persona jurídica;Persona física;2007M03;24,6
Persona jurídica;Persona física;2007M02;24,1
Persona jurídica;Persona física;2007M01;25,1
Persona jurídica;Persona jurídica;2024M08;4,8
Persona jurídica;Persona jurídica;2024M07;5,4
Persona jurídica;Persona jurídica;2024M06;6
Persona jurídica;Persona jurídica;2024M05;6
Persona jurídica;Persona jurídica;2024M04;7
Persona jurídica;Persona jurídica;2024M03;8,6
Persona jurídica;Persona jurídica;2024M02;8,9
Persona jurídica;Persona jurídica;2024M01;6,6
Persona jurídica;Persona jurídica;2023M12;5,6
Persona jurídica;Persona jurídica;2023M11;6,5
Persona jurídica;Persona jurídica;2023M10;5,5
Persona jurídica;Persona jurídica;2023M09;4,8
Persona jurídica;Persona jurídica;2023M08;6,9
Persona jurídica;Persona jurídica;2023M07;6,4
Persona jurídica;Persona jurídica;2023M06;5,8
Persona jurídica;Persona jurídica;2023M05;6
Persona jurídica;Persona jurídica;2023M04;6,4
Persona jurídica;Persona jurídica;2023M03;6,7
Persona jurídica;Persona jurídica;2023M02;6,9
Persona jurídica;Persona jurídica;2023M01;6,3
Persona jurídica;Persona jurídica;2022M12;5,1
Persona jurídica;Persona jurídica;2022M11;5,1
Persona jurídica;Persona jurídica;2022M10;5,9
Persona jurídica;Persona jurídica;2022M09;6,5
Persona jurídica;Persona jurídica;2022M08;7,9
Persona jurídica;Persona jurídica;2022M07;6,8
Persona jurídica;Persona jurídica;2022M06;5,1
