Provincias;Sexo;Periodo;Total
07 Balears, Illes;Total;2003;947.361
07 Balears, Illes;Total;2002;916.968
07 Balears, Illes;Total;2001;878.627
07 Balears, Illes;Total;2000;845.630
07 Balears, Illes;Total;1999;821.820
07 Balears, Illes;Total;1998;796.483
07 Balears, Illes;Total;1997;""
07 Balears, Illes;Total;1996;760.379
08 Barcelona;Total;2021;5.714.730
08 Barcelona;Total;2020;5.743.402
08 Barcelona;Total;2019;5.664.579
08 Barcelona;Total;2018;5.609.350
08 Barcelona;Total;2017;5.576.037
08 Barcelona;Total;2016;5.542.680
08 Barcelona;Total;2015;5.523.922
08 Barcelona;Total;2014;5.523.784
08 Barcelona;Total;2013;5.540.925
08 Barcelona;Total;2012;5.552.050
08 Barcelona;Total;2011;5.529.099
08 Barcelona;Total;2010;5.511.147
08 Barcelona;Total;2009;5.487.935
08 Barcelona;Total;2008;5.416.447
08 Barcelona;Total;2007;5.332.513
08 Barcelona;Total;2006;5.309.404
08 Barcelona;Total;2005;5.226.354
08 Barcelona;Total;2004;5.117.885
08 Barcelona;Total;2003;5.052.666
08 Barcelona;Total;2002;4.906.117
08 Barcelona;Total;2001;4.804.606
08 Barcelona;Total;2000;4.736.277
08 Barcelona;Total;1999;4.706.325
08 Barcelona;Total;1998;4.666.271
08 Barcelona;Total;1997;""
08 Barcelona;Total;1996;4.628.277
48 Bizkaia;Total;2021;1.154.334
48 Bizkaia;Total;2020;1.159.443
48 Bizkaia;Total;2019;1.152.651
48 Bizkaia;Total;2018;1.149.628
48 Bizkaia;Total;2017;1.148.302
48 Bizkaia;Total;2016;1.147.576
48 Bizkaia;Total;2015;1.148.775
48 Bizkaia;Total;2014;1.151.905
48 Bizkaia;Total;2013;1.156.447
48 Bizkaia;Total;2012;1.158.439
48 Bizkaia;Total;2011;1.155.772
48 Bizkaia;Total;2010;1.153.724
48 Bizkaia;Total;2009;1.152.658
48 Bizkaia;Total;2008;1.146.421
48 Bizkaia;Total;2007;1.141.457
48 Bizkaia;Total;2006;1.139.863
48 Bizkaia;Total;2005;1.136.181
48 Bizkaia;Total;2004;1.132.861
48 Bizkaia;Total;2003;1.133.428
48 Bizkaia;Total;2002;1.133.444
48 Bizkaia;Total;2001;1.132.616
48 Bizkaia;Total;2000;1.132.729
48 Bizkaia;Total;1999;1.137.418
48 Bizkaia;Total;1998;1.137.594
48 Bizkaia;Total;1997;""
48 Bizkaia;Total;1996;1.140.026
09 Burgos;Total;2021;356.055
09 Burgos;Total;2020;357.650
09 Burgos;Total;2019;356.958
09 Burgos;Total;2018;357.070
09 Burgos;Total;2017;358.171
09 Burgos;Total;2016;360.995
09 Burgos;Total;2015;364.002
09 Burgos;Total;2014;366.900
09 Burgos;Total;2013;371.248
09 Burgos;Total;2012;374.970
09 Burgos;Total;2011;375.657
09 Burgos;Total;2010;374.826
09 Burgos;Total;2009;375.563
09 Burgos;Total;2008;373.672
09 Burgos;Total;2007;365.972
09 Burgos;Total;2006;363.874
09 Burgos;Total;2005;361.021
09 Burgos;Total;2004;356.437
09 Burgos;Total;2003;355.205
09 Burgos;Total;2002;352.723
09 Burgos;Total;2001;349.810
09 Burgos;Total;2000;347.240
09 Burgos;Total;1999;347.218
09 Burgos;Total;1998;346.355
09 Burgos;Total;1997;""
09 Burgos;Total;1996;350.074
10 Cáceres;Total;2021;389.558
10 Cáceres;Total;2020;391.850
10 Cáceres;Total;2019;394.151
10 Cáceres;Total;2018;396.487
10 Cáceres;Total;2017;400.036
10 Cáceres;Total;2016;403.665
