Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;04 Almería;Total;1 de enero de 2023;753.364
Todas las edades;04 Almería;Total;1 de octubre de 2022;750.182
Todas las edades;04 Almería;Total;1 de julio de 2022;746.675
Todas las edades;04 Almería;Total;1 de abril de 2022;743.001
Todas las edades;04 Almería;Total;1 de enero de 2022;739.541
Todas las edades;04 Almería;Total;1 de octubre de 2021;734.811
Todas las edades;04 Almería;Total;1 de julio de 2021;732.366
Todas las edades;04 Almería;Total;1 de abril de 2021;731.155
Todas las edades;04 Almería;Total;1 de enero de 2021;730.430
Todas las edades;04 Almería;Total;1 de octubre de 2020;""
Todas las edades;04 Almería;Total;1 de julio de 2020;726.052
Todas las edades;04 Almería;Total;1 de abril de 2020;""
Todas las edades;04 Almería;Total;1 de enero de 2020;724.003
Todas las edades;04 Almería;Total;1 de octubre de 2019;""
Todas las edades;04 Almería;Total;1 de julio de 2019;718.671
Todas las edades;04 Almería;Total;1 de abril de 2019;""
Todas las edades;04 Almería;Total;1 de enero de 2019;714.123
Todas las edades;04 Almería;Total;1 de octubre de 2018;""
Todas las edades;04 Almería;Total;1 de julio de 2018;708.575
Todas las edades;04 Almería;Total;1 de abril de 2018;""
Todas las edades;04 Almería;Total;1 de enero de 2018;707.319
Todas las edades;04 Almería;Total;1 de octubre de 2017;""
Todas las edades;04 Almería;Total;1 de julio de 2017;706.175
Todas las edades;04 Almería;Total;1 de abril de 2017;""
Todas las edades;04 Almería;Total;1 de enero de 2017;704.871
Todas las edades;04 Almería;Total;1 de octubre de 2016;""
Todas las edades;04 Almería;Total;1 de julio de 2016;702.407
Todas las edades;04 Almería;Total;1 de abril de 2016;""
Todas las edades;04 Almería;Total;1 de enero de 2016;700.055
Todas las edades;04 Almería;Total;1 de octubre de 2015;""
Todas las edades;04 Almería;Total;1 de julio de 2015;696.920
Todas las edades;04 Almería;Total;1 de abril de 2015;""
Todas las edades;04 Almería;Total;1 de enero de 2015;694.051
Todas las edades;04 Almería;Total;1 de octubre de 2014;""
Todas las edades;04 Almería;Total;1 de julio de 2014;691.753
Todas las edades;04 Almería;Total;1 de abril de 2014;""
Todas las edades;04 Almería;Total;1 de enero de 2014;690.750
Todas las edades;04 Almería;Total;1 de octubre de 2013;""
Todas las edades;04 Almería;Total;1 de julio de 2013;691.233
Todas las edades;04 Almería;Total;1 de abril de 2013;""
Todas las edades;04 Almería;Total;1 de enero de 2013;692.434
Todas las edades;04 Almería;Total;1 de octubre de 2012;""
Todas las edades;04 Almería;Total;1 de julio de 2012;690.106
Todas las edades;04 Almería;Total;1 de abril de 2012;""
Todas las edades;04 Almería;Total;1 de enero de 2012;689.320
Todas las edades;04 Almería;Total;1 de octubre de 2011;""
Todas las edades;04 Almería;Total;1 de julio de 2011;687.413
Todas las edades;04 Almería;Total;1 de abril de 2011;""
Todas las edades;04 Almería;Total;1 de enero de 2011;686.448
Todas las edades;04 Almería;Total;1 de octubre de 2010;""
Todas las edades;04 Almería;Total;1 de julio de 2010;683.783
Todas las edades;04 Almería;Total;1 de abril de 2010;""
Todas las edades;04 Almería;Total;1 de enero de 2010;680.484
Todas las edades;04 Almería;Total;1 de octubre de 2009;""
Todas las edades;04 Almería;Total;1 de julio de 2009;676.797
Todas las edades;04 Almería;Total;1 de abril de 2009;""
Todas las edades;04 Almería;Total;1 de enero de 2009;673.042
Todas las edades;04 Almería;Total;1 de octubre de 2008;""
Todas las edades;04 Almería;Total;1 de julio de 2008;666.284
Todas las edades;04 Almería;Total;1 de abril de 2008;""
Todas las edades;04 Almería;Total;1 de enero de 2008;659.443
Todas las edades;04 Almería;Total;1 de octubre de 2007;""
Todas las edades;04 Almería;Total;1 de julio de 2007;649.622
Todas las edades;04 Almería;Total;1 de abril de 2007;""
Todas las edades;04 Almería;Total;1 de enero de 2007;642.797
Todas las edades;04 Almería;Total;1 de octubre de 2006;""
Todas las edades;04 Almería;Total;1 de julio de 2006;635.564
Todas las edades;04 Almería;Total;1 de abril de 2006;""
Todas las edades;04 Almería;Total;1 de enero de 2006;627.719
Todas las edades;04 Almería;Total;1 de octubre de 2005;""
Todas las edades;04 Almería;Total;1 de julio de 2005;617.802
Todas las edades;04 Almería;Total;1 de abril de 2005;""
Todas las edades;04 Almería;Total;1 de enero de 2005;603.215
Todas las edades;01 Araba/Álava;Total;1 de enero de 2023;336.308
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2022;335.666
Todas las edades;01 Araba/Álava;Total;1 de julio de 2022;335.191
Todas las edades;01 Araba/Álava;Total;1 de abril de 2022;334.523
Todas las edades;01 Araba/Álava;Total;1 de enero de 2022;333.908
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2021;333.165
Todas las edades;01 Araba/Álava;Total;1 de julio de 2021;332.885
Todas las edades;01 Araba/Álava;Total;1 de abril de 2021;333.137
Todas las edades;01 Araba/Álava;Total;1 de enero de 2021;333.485
